"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",9.40e+08 100 %,9.40e+08 100 %,1.46e+09 100 %,1.46e+09 100 %,7.44e+06 100 %,7.44e+06 100 %
"<program root>",9.40e+08 100 %,,1.46e+09 100 %,,7.42e+06 99.8%,
"main",9.40e+08 100 %,9.36e+08 99.6%,1.46e+09 100 %,1.43e+09 97.9%,7.42e+06 99.8%,7.08e+06 95.2%
"loop at stream.c: 308",9.24e+08 98.3%,,1.38e+09 94.2%,,6.60e+06 88.8%,
"loop at stream.c: 335",2.78e+08 29.6%,2.78e+08 29.6%,4.10e+08 28.0%,4.10e+08 28.0%,1.89e+06 25.4%,1.89e+06 25.4%
"stream.c: 336",2.34e+08 24.9%,2.34e+08 24.9%,3.45e+08 23.6%,3.45e+08 23.6%,1.68e+06 22.6%,1.68e+06 22.6%
"stream.c: 335",4.40e+07  4.7%,4.40e+07  4.7%,6.48e+07  4.4%,6.48e+07  4.4%,2.08e+05  2.8%,2.08e+05  2.8%
"loop at stream.c: 345",2.72e+08 28.9%,2.72e+08 28.9%,4.13e+08 28.3%,4.13e+08 28.3%,1.89e+06 25.4%,1.89e+06 25.4%
"stream.c: 346",1.92e+08 20.4%,1.92e+08 20.4%,2.91e+08 19.9%,2.91e+08 19.9%,1.73e+06 23.3%,1.73e+06 23.3%
"stream.c: 345",8.00e+07  8.5%,8.00e+07  8.5%,1.21e+08  8.3%,1.21e+08  8.3%,1.60e+05  2.1%,1.60e+05  2.1%
"loop at stream.c: 325",1.88e+08 20.0%,1.88e+08 20.0%,2.78e+08 19.0%,2.78e+08 19.0%,1.40e+06 18.8%,1.40e+06 18.8%
"stream.c: 326",1.64e+08 17.4%,1.64e+08 17.4%,2.43e+08 16.6%,2.43e+08 16.6%,1.23e+06 16.5%,1.23e+06 16.5%
"stream.c: 325",2.40e+07  2.6%,2.40e+07  2.6%,3.56e+07  2.4%,3.56e+07  2.4%,1.68e+05  2.3%,1.68e+05  2.3%
"loop at stream.c: 315",1.86e+08 19.8%,1.86e+08 19.8%,2.76e+08 18.9%,2.76e+08 18.9%,1.42e+06 19.1%,1.42e+06 19.1%
"stream.c: 316",1.16e+08 12.3%,1.16e+08 12.3%,1.72e+08 11.8%,1.72e+08 11.8%,1.04e+06 14.0%,1.04e+06 14.0%
"stream.c: 315",7.00e+07  7.4%,7.00e+07  7.4%,1.04e+08  7.1%,1.04e+08  7.1%,3.83e+05  5.2%,3.83e+05  5.2%
"loop at stream.c: 288",8.00e+06  0.9%,8.00e+06  0.9%,2.25e+07  1.5%,2.25e+07  1.5%,1.04e+05  1.4%,1.04e+05  1.4%
"stream.c: 289",8.00e+06  0.9%,8.00e+06  0.9%,2.25e+07  1.5%,2.25e+07  1.5%,7.98e+04  1.1%,7.98e+04  1.1%
"stream.c: 288",,,,,2.39e+04  0.3%,2.39e+04  0.3%
"checkSTREAMresults",4.00e+06  0.4%,4.00e+06  0.4%,3.13e+07  2.1%,3.13e+07  2.1%,3.43e+05  4.6%,3.43e+05  4.6%
"loop at stream.c: 463",4.00e+06  0.4%,4.00e+06  0.4%,3.13e+07  2.1%,3.13e+07  2.1%,3.43e+05  4.6%,3.43e+05  4.6%
"stream.c: 464",4.00e+06  0.4%,4.00e+06  0.4%,3.13e+07  2.1%,3.13e+07  2.1%,7.18e+04  1.0%,7.18e+04  1.0%
"stream.c: 465",,,,,9.56e+04  1.3%,9.56e+04  1.3%
"stream.c: 466",,,,,1.76e+05  2.4%,1.76e+05  2.4%
"loop at stream.c: 269",4.00e+06  0.4%,4.00e+06  0.4%,3.10e+07  2.1%,3.10e+07  2.1%,3.74e+05  5.0%,3.74e+05  5.0%
"stream.c: 271",2.00e+06  0.2%,2.00e+06  0.2%,1.54e+07  1.1%,1.54e+07  1.1%,1.43e+05  1.9%,1.43e+05  1.9%
"stream.c: 272",2.00e+06  0.2%,2.00e+06  0.2%,1.56e+07  1.1%,1.56e+07  1.1%,7.18e+04  1.0%,7.18e+04  1.0%
"stream.c: 269",,,,,6.25e+04  0.8%,6.25e+04  0.8%
"stream.c: 270",,,,,9.61e+04  1.3%,9.61e+04  1.3%
"<partial call paths>",,,,,1.60e+04  0.2%,
