"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",8.40e+07 100 %,8.40e+07 100 %,1.29e+08 100 %,1.29e+08 100 %,6.86e+05 100 %,6.86e+05 100 %
"<program root>",8.40e+07 100 %,,1.29e+08 100 %,,6.86e+05 100 %,
"main",8.40e+07 100 %,8.40e+07 100 %,1.29e+08 100 %,1.29e+08 100 %,6.86e+05 100 %,6.54e+05 95.4%
"loop at stream.c: 308",8.40e+07 100 %,,1.29e+08 100 %,,6.15e+05 89.6%,
"loop at stream.c: 335",2.80e+07 33.3%,2.80e+07 33.3%,4.13e+07 32.1%,4.13e+07 32.1%,1.84e+05 26.8%,1.84e+05 26.8%
"stream.c: 336",2.20e+07 26.2%,2.20e+07 26.2%,3.24e+07 25.2%,3.24e+07 25.2%,1.60e+05 23.3%,1.60e+05 23.3%
"stream.c: 335",6.00e+06  7.1%,6.00e+06  7.1%,8.81e+06  6.8%,8.81e+06  6.8%,2.39e+04  3.5%,2.39e+04  3.5%
"loop at stream.c: 345",2.40e+07 28.6%,2.40e+07 28.6%,3.62e+07 28.1%,3.62e+07 28.1%,1.68e+05 24.5%,1.68e+05 24.5%
"stream.c: 346",1.60e+07 19.0%,1.60e+07 19.0%,2.40e+07 18.6%,2.40e+07 18.6%,1.44e+05 21.0%,1.44e+05 21.0%
"stream.c: 345",8.00e+06  9.5%,8.00e+06  9.5%,1.22e+07  9.5%,1.22e+07  9.5%,2.40e+04  3.5%,2.40e+04  3.5%
"loop at stream.c: 315",1.60e+07 19.0%,1.60e+07 19.0%,2.74e+07 21.3%,2.74e+07 21.3%,1.28e+05 18.6%,1.28e+05 18.6%
"stream.c: 316",1.20e+07 14.3%,1.20e+07 14.3%,1.82e+07 14.1%,1.82e+07 14.1%,9.58e+04 14.0%,9.58e+04 14.0%
"stream.c: 315",4.00e+06  4.8%,4.00e+06  4.8%,9.21e+06  7.2%,9.21e+06  7.2%,3.19e+04  4.7%,3.19e+04  4.7%
"loop at stream.c: 325",1.60e+07 19.0%,1.60e+07 19.0%,2.38e+07 18.5%,2.38e+07 18.5%,1.36e+05 19.8%,1.36e+05 19.8%
"stream.c: 326",1.40e+07 16.7%,1.40e+07 16.7%,2.08e+07 16.2%,2.08e+07 16.2%,9.58e+04 14.0%,9.58e+04 14.0%
"stream.c: 325",2.00e+06  2.4%,2.00e+06  2.4%,3.00e+06  2.3%,3.00e+06  2.3%,4.00e+04  5.8%,4.00e+04  5.8%
"checkSTREAMresults",,,,,3.18e+04  4.6%,3.18e+04  4.6%
"loop at stream.c: 463",,,,,3.18e+04  4.6%,3.18e+04  4.6%
"stream.c: 464",,,,,7.99e+03  1.2%,7.99e+03  1.2%
"stream.c: 466",,,,,2.38e+04  3.5%,2.38e+04  3.5%
"loop at stream.c: 269",,,,,3.13e+04  4.6%,3.13e+04  4.6%
"stream.c: 271",,,,,2.36e+04  3.4%,2.36e+04  3.4%
"stream.c: 272",,,,,7.70e+03  1.1%,7.70e+03  1.1%
"loop at stream.c: 288",,,,,7.99e+03  1.2%,7.99e+03  1.2%
"stream.c: 289",,,,,7.99e+03  1.2%,7.99e+03  1.2%
