"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.12e+09 100 %,1.12e+09 100 %,1.74e+09 100 %,1.74e+09 100 %,8.84e+06 100 %,8.84e+06 100 %
"<program root>",1.12e+09 100 %,,1.74e+09 100 %,,8.83e+06 99.9%,
"main",1.12e+09 100 %,1.11e+09 99.5%,1.74e+09 100 %,1.69e+09 97.2%,8.83e+06 99.9%,8.45e+06 95.6%
"loop at stream.c: 308",1.10e+09 98.2%,,1.63e+09 93.6%,,7.88e+06 89.2%,
"loop at stream.c: 335",3.38e+08 30.3%,3.38e+08 30.3%,4.88e+08 28.1%,4.88e+08 28.1%,2.24e+06 25.3%,2.24e+06 25.3%
"stream.c: 336",2.92e+08 26.2%,2.92e+08 26.2%,4.21e+08 24.3%,4.21e+08 24.3%,2.01e+06 22.8%,2.01e+06 22.8%
"stream.c: 335",4.60e+07  4.1%,4.60e+07  4.1%,6.64e+07  3.8%,6.64e+07  3.8%,2.23e+05  2.5%,2.23e+05  2.5%
"loop at stream.c: 345",3.18e+08 28.5%,3.18e+08 28.5%,4.86e+08 28.0%,4.86e+08 28.0%,2.28e+06 25.7%,2.28e+06 25.7%
"stream.c: 346",2.62e+08 23.5%,2.62e+08 23.5%,4.01e+08 23.1%,4.01e+08 23.1%,1.88e+06 21.3%,1.88e+06 21.3%
"stream.c: 345",5.60e+07  5.0%,5.60e+07  5.0%,8.55e+07  4.9%,8.55e+07  4.9%,3.91e+05  4.4%,3.91e+05  4.4%
"loop at stream.c: 315",2.22e+08 19.9%,2.22e+08 19.9%,3.27e+08 18.8%,3.27e+08 18.8%,1.72e+06 19.4%,1.72e+06 19.4%
"stream.c: 316",1.32e+08 11.8%,1.32e+08 11.8%,1.94e+08 11.2%,1.94e+08 11.2%,1.25e+06 14.1%,1.25e+06 14.1%
"stream.c: 315",9.00e+07  8.1%,9.00e+07  8.1%,1.32e+08  7.6%,1.32e+08  7.6%,4.71e+05  5.3%,4.71e+05  5.3%
"loop at stream.c: 325",2.18e+08 19.5%,2.18e+08 19.5%,3.26e+08 18.7%,3.26e+08 18.7%,1.65e+06 18.7%,1.65e+06 18.7%
"stream.c: 326",1.88e+08 16.8%,1.88e+08 16.8%,2.81e+08 16.2%,2.81e+08 16.2%,1.51e+06 17.1%,1.51e+06 17.1%
"stream.c: 325",3.00e+07  2.7%,3.00e+07  2.7%,4.48e+07  2.6%,4.48e+07  2.6%,1.44e+05  1.6%,1.44e+05  1.6%
"loop at stream.c: 288",8.00e+06  0.7%,8.00e+06  0.7%,1.47e+07  0.8%,1.47e+07  0.8%,1.12e+05  1.3%,1.12e+05  1.3%
"stream.c: 289",8.00e+06  0.7%,8.00e+06  0.7%,1.47e+07  0.8%,1.47e+07  0.8%,9.58e+04  1.1%,9.58e+04  1.1%
"stream.c: 288",,,,,1.60e+04  0.2%,1.60e+04  0.2%
"checkSTREAMresults",6.00e+06  0.5%,6.00e+06  0.5%,4.85e+07  2.8%,4.85e+07  2.8%,3.83e+05  4.3%,3.83e+05  4.3%
"loop at stream.c: 463",6.00e+06  0.5%,6.00e+06  0.5%,4.85e+07  2.8%,4.85e+07  2.8%,3.83e+05  4.3%,3.83e+05  4.3%
"stream.c: 465",4.00e+06  0.4%,4.00e+06  0.4%,2.92e+07  1.7%,2.92e+07  1.7%,7.17e+04  0.8%,7.17e+04  0.8%
"stream.c: 466",2.00e+06  0.2%,2.00e+06  0.2%,1.93e+07  1.1%,1.93e+07  1.1%,1.60e+05  1.8%,1.60e+05  1.8%
"stream.c: 463",,,,,8.00e+03  0.1%,8.00e+03  0.1%
"stream.c: 464",,,,,1.44e+05  1.6%,1.44e+05  1.6%
"loop at stream.c: 269",6.00e+06  0.5%,6.00e+06  0.5%,4.83e+07  2.8%,4.83e+07  2.8%,4.55e+05  5.1%,4.55e+05  5.1%
"stream.c: 269",4.00e+06  0.4%,4.00e+06  0.4%,3.22e+07  1.9%,3.22e+07  1.9%,1.35e+05  1.5%,1.35e+05  1.5%
"stream.c: 271",2.00e+06  0.2%,2.00e+06  0.2%,1.61e+07  0.9%,1.61e+07  0.9%,1.68e+05  1.9%,1.68e+05  1.9%
"stream.c: 270",,,,,9.56e+04  1.1%,9.56e+04  1.1%
"stream.c: 272",,,,,5.59e+04  0.6%,5.59e+04  0.6%
"<partial call paths>",,,,,7.99e+03  0.1%,
