"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",7.24e+08 100 %,7.24e+08 100 %,1.07e+09 100 %,1.07e+09 100 %,5.56e+06 100 %,5.56e+06 100 %
"<program root>",7.24e+08 100 %,,1.07e+09 100 %,,5.56e+06 100 %,
"main",7.24e+08 100 %,7.16e+08 98.9%,1.07e+09 100 %,1.04e+09 97.0%,5.56e+06 100 %,5.32e+06 95.7%
"loop at stream.c: 308",7.06e+08 97.5%,,1.00e+09 93.5%,,4.94e+06 88.8%,
"loop at stream.c: 335",2.12e+08 29.3%,2.12e+08 29.3%,3.01e+08 28.0%,3.01e+08 28.0%,1.41e+06 25.4%,1.41e+06 25.4%
"stream.c: 336",1.88e+08 26.0%,1.88e+08 26.0%,2.67e+08 24.9%,2.67e+08 24.9%,1.29e+06 23.1%,1.29e+06 23.1%
"stream.c: 335",2.40e+07  3.3%,2.40e+07  3.3%,3.38e+07  3.1%,3.38e+07  3.1%,1.28e+05  2.3%,1.28e+05  2.3%
"loop at stream.c: 345",2.06e+08 28.5%,2.06e+08 28.5%,3.02e+08 28.1%,3.02e+08 28.1%,1.43e+06 25.7%,1.43e+06 25.7%
"stream.c: 346",1.58e+08 21.8%,1.58e+08 21.8%,2.32e+08 21.6%,2.32e+08 21.6%,1.21e+06 21.8%,1.21e+06 21.8%
"stream.c: 345",4.80e+07  6.6%,4.80e+07  6.6%,7.05e+07  6.6%,7.05e+07  6.6%,2.16e+05  3.9%,2.16e+05  3.9%
"loop at stream.c: 315",1.46e+08 20.2%,1.46e+08 20.2%,2.02e+08 18.8%,2.02e+08 18.8%,1.03e+06 18.5%,1.03e+06 18.5%
"stream.c: 316",9.80e+07 13.5%,9.80e+07 13.5%,1.36e+08 12.6%,1.36e+08 12.6%,7.27e+05 13.1%,7.27e+05 13.1%
"stream.c: 315",4.80e+07  6.6%,4.80e+07  6.6%,6.61e+07  6.1%,6.61e+07  6.1%,3.03e+05  5.5%,3.03e+05  5.5%
"loop at stream.c: 325",1.42e+08 19.6%,1.42e+08 19.6%,1.99e+08 18.5%,1.99e+08 18.5%,1.06e+06 19.1%,1.06e+06 19.1%
"stream.c: 326",1.26e+08 17.4%,1.26e+08 17.4%,1.77e+08 16.4%,1.77e+08 16.4%,9.34e+05 16.8%,9.34e+05 16.8%
"stream.c: 325",1.60e+07  2.2%,1.60e+07  2.2%,2.24e+07  2.1%,2.24e+07  2.1%,1.28e+05  2.3%,1.28e+05  2.3%
"checkSTREAMresults",8.00e+06  1.1%,8.00e+06  1.1%,3.19e+07  3.0%,3.19e+07  3.0%,2.39e+05  4.3%,2.39e+05  4.3%
"loop at stream.c: 463",8.00e+06  1.1%,8.00e+06  1.1%,3.19e+07  3.0%,3.19e+07  3.0%,2.39e+05  4.3%,2.39e+05  4.3%
"stream.c: 466",4.00e+06  0.6%,4.00e+06  0.6%,1.73e+07  1.6%,1.73e+07  1.6%,7.17e+04  1.3%,7.17e+04  1.3%
"stream.c: 464",2.00e+06  0.3%,2.00e+06  0.3%,5.12e+06  0.5%,5.12e+06  0.5%,7.99e+04  1.4%,7.99e+04  1.4%
"stream.c: 465",2.00e+06  0.3%,2.00e+06  0.3%,9.42e+06  0.9%,9.42e+06  0.9%,7.19e+04  1.3%,7.19e+04  1.3%
"stream.c: 463",,,,,1.60e+04  0.3%,1.60e+04  0.3%
"loop at stream.c: 269",6.00e+06  0.8%,6.00e+06  0.8%,3.03e+07  2.8%,3.03e+07  2.8%,3.10e+05  5.6%,3.10e+05  5.6%
"stream.c: 269",4.00e+06  0.6%,4.00e+06  0.6%,2.03e+07  1.9%,2.03e+07  1.9%,4.74e+04  0.9%,4.74e+04  0.9%
"stream.c: 272",2.00e+06  0.3%,2.00e+06  0.3%,1.00e+07  0.9%,1.00e+07  0.9%,7.87e+04  1.4%,7.87e+04  1.4%
"stream.c: 270",,,,,6.39e+04  1.2%,6.39e+04  1.2%
"stream.c: 271",,,,,1.20e+05  2.2%,1.20e+05  2.2%
"loop at stream.c: 288",4.00e+06  0.6%,4.00e+06  0.6%,7.81e+06  0.7%,7.81e+06  0.7%,7.19e+04  1.3%,7.19e+04  1.3%
"stream.c: 288",2.00e+06  0.3%,2.00e+06  0.3%,3.64e+06  0.3%,3.64e+06  0.3%,1.60e+04  0.3%,1.60e+04  0.3%
"stream.c: 289",2.00e+06  0.3%,2.00e+06  0.3%,4.18e+06  0.4%,4.18e+06  0.4%,5.59e+04  1.0%,5.59e+04  1.0%
