"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",3.60e+08 100 %,3.60e+08 100 %,5.32e+08 100 %,5.32e+08 100 %,2.80e+06 100 %,2.80e+06 100 %
"<program root>",3.60e+08 100 %,,5.32e+08 100 %,,2.80e+06 100 %,
"main",3.60e+08 100 %,3.56e+08 98.9%,5.32e+08 100 %,5.20e+08 97.7%,2.80e+06 100 %,2.67e+06 95.4%
"loop at stream.c: 308",3.52e+08 97.8%,,5.03e+08 94.5%,,2.48e+06 88.4%,
"loop at stream.c: 335",1.06e+08 29.4%,1.06e+08 29.4%,1.50e+08 28.2%,1.50e+08 28.2%,7.19e+05 25.7%,7.19e+05 25.7%
"stream.c: 336",9.80e+07 27.2%,9.80e+07 27.2%,1.39e+08 26.1%,1.39e+08 26.1%,6.87e+05 24.5%,6.87e+05 24.5%
"stream.c: 335",8.00e+06  2.2%,8.00e+06  2.2%,1.12e+07  2.1%,1.12e+07  2.1%,3.20e+04  1.1%,3.20e+04  1.1%
"loop at stream.c: 345",1.02e+08 28.3%,1.02e+08 28.3%,1.51e+08 28.4%,1.51e+08 28.4%,7.27e+05 26.0%,7.27e+05 26.0%
"stream.c: 346",8.80e+07 24.4%,8.80e+07 24.4%,1.30e+08 24.5%,1.30e+08 24.5%,6.47e+05 23.1%,6.47e+05 23.1%
"stream.c: 345",1.40e+07  3.9%,1.40e+07  3.9%,2.06e+07  3.9%,2.06e+07  3.9%,7.99e+04  2.9%,7.99e+04  2.9%
"loop at stream.c: 315",7.20e+07 20.0%,7.20e+07 20.0%,1.01e+08 19.0%,1.01e+08 19.0%,5.11e+05 18.3%,5.11e+05 18.3%
"stream.c: 316",4.20e+07 11.7%,4.20e+07 11.7%,5.89e+07 11.1%,5.89e+07 11.1%,3.67e+05 13.1%,3.67e+05 13.1%
"stream.c: 315",3.00e+07  8.3%,3.00e+07  8.3%,4.21e+07  7.9%,4.21e+07  7.9%,1.44e+05  5.1%,1.44e+05  5.1%
"loop at stream.c: 325",7.20e+07 20.0%,7.20e+07 20.0%,1.01e+08 19.0%,1.01e+08 19.0%,5.19e+05 18.5%,5.19e+05 18.5%
"stream.c: 326",6.60e+07 18.3%,6.60e+07 18.3%,9.28e+07 17.5%,9.28e+07 17.5%,4.63e+05 16.5%,4.63e+05 16.5%
"stream.c: 325",6.00e+06  1.7%,6.00e+06  1.7%,8.34e+06  1.6%,8.34e+06  1.6%,5.59e+04  2.0%,5.59e+04  2.0%
"checkSTREAMresults",4.00e+06  1.1%,4.00e+06  1.1%,1.22e+07  2.3%,1.22e+07  2.3%,1.28e+05  4.6%,1.28e+05  4.6%
"loop at stream.c: 463",4.00e+06  1.1%,4.00e+06  1.1%,1.22e+07  2.3%,1.22e+07  2.3%,1.28e+05  4.6%,1.28e+05  4.6%
"stream.c: 466",4.00e+06  1.1%,4.00e+06  1.1%,1.22e+07  2.3%,1.22e+07  2.3%,6.37e+04  2.3%,6.37e+04  2.3%
"stream.c: 464",,,,,3.99e+04  1.4%,3.99e+04  1.4%
"stream.c: 465",,,,,2.40e+04  0.9%,2.40e+04  0.9%
"loop at stream.c: 269",2.00e+06  0.6%,2.00e+06  0.6%,9.45e+06  1.8%,9.45e+06  1.8%,1.57e+05  5.6%,1.57e+05  5.6%
"stream.c: 271",2.00e+06  0.6%,2.00e+06  0.6%,9.45e+06  1.8%,9.45e+06  1.8%,7.17e+04  2.6%,7.17e+04  2.6%
"stream.c: 269",,,,,4.77e+04  1.7%,4.77e+04  1.7%
"stream.c: 270",,,,,2.95e+04  1.1%,2.95e+04  1.1%
"stream.c: 272",,,,,7.97e+03  0.3%,7.97e+03  0.3%
"loop at stream.c: 288",2.00e+06  0.6%,2.00e+06  0.6%,7.38e+06  1.4%,7.38e+06  1.4%,3.98e+04  1.4%,3.98e+04  1.4%
"stream.c: 289",2.00e+06  0.6%,2.00e+06  0.6%,7.38e+06  1.4%,7.38e+06  1.4%,3.98e+04  1.4%,3.98e+04  1.4%
