"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.08e+09 100 %,1.08e+09 100 %,1.61e+09 100 %,1.61e+09 100 %,8.31e+06 100 %,8.31e+06 100 %
"<program root>",1.08e+09 100 %,,1.61e+09 100 %,,8.30e+06 99.9%,
"main",1.08e+09 100 %,1.07e+09 98.9%,1.61e+09 100 %,1.56e+09 96.9%,8.30e+06 99.9%,7.95e+06 95.7%
"loop at stream.c: 308",1.05e+09 97.4%,,1.51e+09 93.3%,,7.37e+06 88.7%,
"loop at stream.c: 335",3.18e+08 29.4%,3.18e+08 29.4%,4.51e+08 28.0%,4.51e+08 28.0%,2.13e+06 25.7%,2.13e+06 25.7%
"stream.c: 336",2.94e+08 27.2%,2.94e+08 27.2%,4.17e+08 25.8%,4.17e+08 25.8%,1.97e+06 23.7%,1.97e+06 23.7%
"stream.c: 335",2.40e+07  2.2%,2.40e+07  2.2%,3.45e+07  2.1%,3.45e+07  2.1%,1.60e+05  1.9%,1.60e+05  1.9%
"loop at stream.c: 345",3.06e+08 28.3%,3.06e+08 28.3%,4.54e+08 28.1%,4.54e+08 28.1%,2.13e+06 25.6%,2.13e+06 25.6%
"stream.c: 346",2.28e+08 21.1%,2.28e+08 21.1%,3.39e+08 21.0%,3.39e+08 21.0%,1.84e+06 22.2%,1.84e+06 22.2%
"stream.c: 345",7.80e+07  7.2%,7.80e+07  7.2%,1.16e+08  7.2%,1.16e+08  7.2%,2.87e+05  3.5%,2.87e+05  3.5%
"loop at stream.c: 315",2.20e+08 20.3%,2.20e+08 20.3%,3.04e+08 18.8%,3.04e+08 18.8%,1.56e+06 18.7%,1.56e+06 18.7%
"stream.c: 316",1.42e+08 13.1%,1.42e+08 13.1%,1.96e+08 12.1%,1.96e+08 12.1%,1.08e+06 13.0%,1.08e+06 13.0%
"stream.c: 315",7.80e+07  7.2%,7.80e+07  7.2%,1.08e+08  6.7%,1.08e+08  6.7%,4.79e+05  5.8%,4.79e+05  5.8%
"loop at stream.c: 325",2.10e+08 19.4%,2.10e+08 19.4%,2.97e+08 18.4%,2.97e+08 18.4%,1.55e+06 18.7%,1.55e+06 18.7%
"stream.c: 326",1.66e+08 15.3%,1.66e+08 15.3%,2.35e+08 14.6%,2.35e+08 14.6%,1.35e+06 16.2%,1.35e+06 16.2%
"stream.c: 325",4.40e+07  4.1%,4.40e+07  4.1%,6.23e+07  3.9%,6.23e+07  3.9%,2.00e+05  2.4%,2.00e+05  2.4%
"checkSTREAMresults",1.20e+07  1.1%,1.20e+07  1.1%,4.99e+07  3.1%,4.99e+07  3.1%,3.51e+05  4.2%,3.51e+05  4.2%
"loop at stream.c: 463",1.20e+07  1.1%,1.20e+07  1.1%,4.99e+07  3.1%,4.99e+07  3.1%,3.51e+05  4.2%,3.51e+05  4.2%
"stream.c: 464",1.00e+07  0.9%,1.00e+07  0.9%,4.04e+07  2.5%,4.04e+07  2.5%,1.44e+05  1.7%,1.44e+05  1.7%
"stream.c: 466",2.00e+06  0.2%,2.00e+06  0.2%,9.54e+06  0.6%,9.54e+06  0.6%,1.12e+05  1.3%,1.12e+05  1.3%
"stream.c: 463",,,,,7.99e+03  0.1%,7.99e+03  0.1%
"stream.c: 465",,,,,8.77e+04  1.1%,8.77e+04  1.1%
"loop at stream.c: 269",8.00e+06  0.7%,8.00e+06  0.7%,3.80e+07  2.4%,3.80e+07  2.4%,4.69e+05  5.6%,4.69e+05  5.6%
"stream.c: 272",4.00e+06  0.4%,4.00e+06  0.4%,1.93e+07  1.2%,1.93e+07  1.2%,1.20e+05  1.4%,1.20e+05  1.4%
"stream.c: 269",2.00e+06  0.2%,2.00e+06  0.2%,9.68e+06  0.6%,9.68e+06  0.6%,7.17e+04  0.9%,7.17e+04  0.9%
"stream.c: 270",2.00e+06  0.2%,2.00e+06  0.2%,9.06e+06  0.6%,9.06e+06  0.6%,7.19e+04  0.9%,7.19e+04  0.9%
"stream.c: 271",,,,,2.05e+05  2.5%,2.05e+05  2.5%
"loop at stream.c: 288",8.00e+06  0.7%,8.00e+06  0.7%,1.99e+07  1.2%,1.99e+07  1.2%,1.12e+05  1.3%,1.12e+05  1.3%
"stream.c: 289",8.00e+06  0.7%,8.00e+06  0.7%,1.99e+07  1.2%,1.99e+07  1.2%,1.12e+05  1.3%,1.12e+05  1.3%
"<partial call paths>",,,,,8.00e+03  0.1%,
