"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",8.92e+08 100 %,8.92e+08 100 %,1.33e+09 100 %,1.33e+09 100 %,7.24e+06 100 %,7.24e+06 100 %
"<program root>",8.92e+08 100 %,,1.33e+09 100 %,,7.21e+06 99.7%,
"main",8.92e+08 100 %,8.84e+08 99.1%,1.33e+09 100 %,1.30e+09 97.4%,7.21e+06 99.7%,6.93e+06 95.7%
"loop at stream.c: 308",8.70e+08 97.5%,,1.25e+09 93.7%,,6.47e+06 89.4%,
"loop at stream.c: 335",2.64e+08 29.6%,2.64e+08 29.6%,3.75e+08 28.1%,3.75e+08 28.1%,1.88e+06 25.9%,1.88e+06 25.9%
"stream.c: 336",2.10e+08 23.5%,2.10e+08 23.5%,2.98e+08 22.3%,2.98e+08 22.3%,1.70e+06 23.5%,1.70e+06 23.5%
"stream.c: 335",5.40e+07  6.1%,5.40e+07  6.1%,7.67e+07  5.7%,7.67e+07  5.7%,1.76e+05  2.4%,1.76e+05  2.4%
"loop at stream.c: 345",2.56e+08 28.7%,2.56e+08 28.7%,3.79e+08 28.4%,3.79e+08 28.4%,1.90e+06 26.3%,1.90e+06 26.3%
"stream.c: 346",2.04e+08 22.9%,2.04e+08 22.9%,3.02e+08 22.6%,3.02e+08 22.6%,1.72e+06 23.8%,1.72e+06 23.8%
"stream.c: 345",5.20e+07  5.8%,5.20e+07  5.8%,7.69e+07  5.8%,7.69e+07  5.8%,1.76e+05  2.4%,1.76e+05  2.4%
"loop at stream.c: 315",1.80e+08 20.2%,1.80e+08 20.2%,2.47e+08 18.5%,2.47e+08 18.5%,1.33e+06 18.4%,1.33e+06 18.4%
"stream.c: 316",1.34e+08 15.0%,1.34e+08 15.0%,1.84e+08 13.8%,1.84e+08 13.8%,9.42e+05 13.0%,9.42e+05 13.0%
"stream.c: 315",4.60e+07  5.2%,4.60e+07  5.2%,6.31e+07  4.7%,6.31e+07  4.7%,3.91e+05  5.4%,3.91e+05  5.4%
"loop at stream.c: 325",1.70e+08 19.1%,1.70e+08 19.1%,2.49e+08 18.7%,2.49e+08 18.7%,1.36e+06 18.8%,1.36e+06 18.8%
"stream.c: 326",1.46e+08 16.4%,1.46e+08 16.4%,2.14e+08 16.0%,2.14e+08 16.0%,1.22e+06 16.9%,1.22e+06 16.9%
"stream.c: 325",2.40e+07  2.7%,2.40e+07  2.7%,3.54e+07  2.6%,3.54e+07  2.6%,1.36e+05  1.9%,1.36e+05  1.9%
"checkSTREAMresults",8.00e+06  0.9%,8.00e+06  0.9%,3.46e+07  2.6%,3.46e+07  2.6%,2.87e+05  4.0%,2.87e+05  4.0%
"loop at stream.c: 463",8.00e+06  0.9%,8.00e+06  0.9%,3.46e+07  2.6%,3.46e+07  2.6%,2.87e+05  4.0%,2.87e+05  4.0%
"stream.c: 464",4.00e+06  0.4%,4.00e+06  0.4%,1.83e+07  1.4%,1.83e+07  1.4%,8.78e+04  1.2%,8.78e+04  1.2%
"stream.c: 465",2.00e+06  0.2%,2.00e+06  0.2%,6.87e+06  0.5%,6.87e+06  0.5%,1.28e+05  1.8%,1.28e+05  1.8%
"stream.c: 466",2.00e+06  0.2%,2.00e+06  0.2%,9.41e+06  0.7%,9.41e+06  0.7%,7.16e+04  1.0%,7.16e+04  1.0%
"loop at stream.c: 288",8.00e+06  0.9%,8.00e+06  0.9%,1.87e+07  1.4%,1.87e+07  1.4%,9.17e+04  1.3%,9.17e+04  1.3%
"stream.c: 289",6.00e+06  0.7%,6.00e+06  0.7%,1.50e+07  1.1%,1.50e+07  1.1%,7.57e+04  1.0%,7.57e+04  1.0%
"stream.c: 288",2.00e+06  0.2%,2.00e+06  0.2%,3.73e+06  0.3%,3.73e+06  0.3%,1.60e+04  0.2%,1.60e+04  0.2%
"loop at stream.c: 269",6.00e+06  0.7%,6.00e+06  0.7%,3.14e+07  2.4%,3.14e+07  2.4%,3.66e+05  5.1%,3.66e+05  5.1%
"stream.c: 269",2.00e+06  0.2%,2.00e+06  0.2%,1.08e+07  0.8%,1.08e+07  0.8%,7.17e+04  1.0%,7.17e+04  1.0%
"stream.c: 271",2.00e+06  0.2%,2.00e+06  0.2%,1.07e+07  0.8%,1.07e+07  0.8%,1.44e+05  2.0%,1.44e+05  2.0%
"stream.c: 272",2.00e+06  0.2%,2.00e+06  0.2%,9.94e+06  0.7%,9.94e+06  0.7%,8.68e+04  1.2%,8.68e+04  1.2%
"stream.c: 270",,,,,6.36e+04  0.9%,6.36e+04  0.9%
"<partial call paths>",,,,,2.40e+04  0.3%,
"<unknown procedure>",,,,,2.40e+04  0.3%,
"monitor_signal_handler",,,,,2.40e+04  0.3%,1.60e+04  0.2%
"<unknown file>: 0",,,,,1.60e+04  0.2%,1.60e+04  0.2%
"_pe_dispatch_timer",,,,,7.98e+03  0.1%,
"<unknown procedure>",,,,,7.98e+03  0.1%,7.98e+03  0.1%
"<unknown file>: 0",,,,,7.98e+03  0.1%,7.98e+03  0.1%
