"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",6.99e+06 100 %,6.99e+06 100 %
"<program root>",6.99e+06 100 %,
"main",6.99e+06 100 %,
"loop at : 0",6.99e+06 100 %,
"multiplyArray(int**, int**, int**, long)",6.99e+06 99.9%,6.99e+06 99.9%
"loop at : 0",6.99e+06 99.9%,
"loop at : 0",6.99e+06 99.9%,
"loop at : 0",6.99e+06 99.9%,6.99e+06 99.9%
"<unknown file>: 0",6.99e+06 99.9%,6.99e+06 99.9%
"fillArray(int**, long, int)",6.71e+03  0.1%,6.71e+03  0.1%
