"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.76e+08 100 %,1.76e+08 100 %,2.65e+08 100 %,2.65e+08 100 %,1.38e+06 100 %,1.38e+06 100 %
"<program root>",1.76e+08 100 %,,2.65e+08 100 %,,1.38e+06 100 %,
"main",1.76e+08 100 %,1.74e+08 98.9%,2.65e+08 100 %,2.59e+08 97.4%,1.38e+06 100 %,1.32e+06 96.0%
"loop at stream.c: 308",1.72e+08 97.7%,,2.50e+08 94.3%,,1.23e+06 89.2%,
"loop at stream.c: 335",5.20e+07 29.5%,5.20e+07 29.5%,7.53e+07 28.4%,7.53e+07 28.4%,3.67e+05 26.6%,3.67e+05 26.6%
"stream.c: 336",4.60e+07 26.1%,4.60e+07 26.1%,6.65e+07 25.1%,6.65e+07 25.1%,3.51e+05 25.5%,3.51e+05 25.5%
"stream.c: 335",6.00e+06  3.4%,6.00e+06  3.4%,8.74e+06  3.3%,8.74e+06  3.3%,1.60e+04  1.2%,1.60e+04  1.2%
"loop at stream.c: 345",5.20e+07 29.5%,5.20e+07 29.5%,7.75e+07 29.2%,7.75e+07 29.2%,3.43e+05 24.9%,3.43e+05 24.9%
"stream.c: 346",4.60e+07 26.1%,4.60e+07 26.1%,6.85e+07 25.8%,6.85e+07 25.8%,3.11e+05 22.6%,3.11e+05 22.6%
"stream.c: 345",6.00e+06  3.4%,6.00e+06  3.4%,9.03e+06  3.4%,9.03e+06  3.4%,3.20e+04  2.3%,3.20e+04  2.3%
"loop at stream.c: 315",3.60e+07 20.5%,3.60e+07 20.5%,5.10e+07 19.2%,5.10e+07 19.2%,2.71e+05 19.7%,2.71e+05 19.7%
"stream.c: 316",2.40e+07 13.6%,2.40e+07 13.6%,3.37e+07 12.7%,3.37e+07 12.7%,2.00e+05 14.5%,2.00e+05 14.5%
"stream.c: 315",1.20e+07  6.8%,1.20e+07  6.8%,1.73e+07  6.5%,1.73e+07  6.5%,7.19e+04  5.2%,7.19e+04  5.2%
"loop at stream.c: 325",3.20e+07 18.2%,3.20e+07 18.2%,4.66e+07 17.5%,4.66e+07 17.5%,2.48e+05 18.0%,2.48e+05 18.0%
"stream.c: 326",2.80e+07 15.9%,2.80e+07 15.9%,4.07e+07 15.3%,4.07e+07 15.3%,2.48e+05 18.0%,2.48e+05 18.0%
"stream.c: 325",4.00e+06  2.3%,4.00e+06  2.3%,5.84e+06  2.2%,5.84e+06  2.2%,,
"checkSTREAMresults",2.00e+06  1.1%,2.00e+06  1.1%,6.79e+06  2.6%,6.79e+06  2.6%,5.57e+04  4.0%,5.57e+04  4.0%
"loop at stream.c: 463",2.00e+06  1.1%,2.00e+06  1.1%,6.79e+06  2.6%,6.79e+06  2.6%,5.57e+04  4.0%,5.57e+04  4.0%
"stream.c: 466",2.00e+06  1.1%,2.00e+06  1.1%,6.79e+06  2.6%,6.79e+06  2.6%,1.60e+04  1.2%,1.60e+04  1.2%
"stream.c: 463",,,,,7.99e+03  0.6%,7.99e+03  0.6%
"stream.c: 464",,,,,1.58e+04  1.1%,1.58e+04  1.1%
"stream.c: 465",,,,,1.60e+04  1.2%,1.60e+04  1.2%
"loop at stream.c: 288",2.00e+06  1.1%,2.00e+06  1.1%,8.36e+06  3.1%,8.36e+06  3.1%,2.39e+04  1.7%,2.39e+04  1.7%
"stream.c: 289",2.00e+06  1.1%,2.00e+06  1.1%,8.36e+06  3.1%,8.36e+06  3.1%,1.59e+04  1.2%,1.59e+04  1.2%
"stream.c: 288",,,,,7.98e+03  0.6%,7.98e+03  0.6%
"loop at stream.c: 269",,,,,6.89e+04  5.0%,6.89e+04  5.0%
"stream.c: 270",,,,,8.02e+03  0.6%,8.02e+03  0.6%
"stream.c: 271",,,,,2.95e+04  2.1%,2.95e+04  2.1%
"stream.c: 272",,,,,3.15e+04  2.3%,3.15e+04  2.3%
